INSTITUTION_ID,SERNO,CACCSERNO,NUMBERX,PRIMARYCARD,PEOPLESERNO,RISKDOMAINSERNO,PRODUCT,FEEPROFSERNO,TRXNFEEPROFSERNO,AUTHFEEPROFSERNO,INSTPROFSERNO,REWARDPROFSERNO,CAPROFSERNO,SERVICEFEEOVERRIDESEXIST,TRXNFEEOVERRIDESEXIST,SERVICECODE,EXPIRYDATE,EXPIRYDATESTATUS,EXPIRYPERIODRENEW,PREVIOUSEXPIRYDATE,PREVEXPIRYDATESTATUS,CREATEDATE,BLOCKEDDATE,CLOSEDATE,OLDCARDSERNO,NEWCARDSERNO,STGENERAL,STFINANCIAL,STAUTHORIZATION,STEMBOSSING,PRECHANGEREQUESTSTGENERAL,MASTERPROFILESERNO,REALFLAG,CARDCOUNTRY,VIRTUAL,APPLICATIONSERNO,ACCSTMTSUMMARYIND,SENDMEMOSTATEMENT,LOGACTION,DEFAULTACCOUNTTYPE,INSTANTISSUANCE,LANGUAGECODE,PVVVERSIONNO,CARDACTIVEVERSIONNO,ENTITYVERSIONNO,EXTERNALREFERENCE,ACSENROLMENTSTATUS,ACSPASSWORDMODEL,PRIORITYPASSCARDSERNO,PRIORITYPASSCARD,CONVERTED
375,6301,9731,5498327779998884,1,6689,11274,30,70,,,108,118,2,0,0,201,6/30/2028,A,36,,,6/6/2025,,,,,WOFC,COL2,NOAU,NREN,,8,,,0,55103,0,0,EOD        ,30,0,en-US,1,1,16,,N,2,,0,
375,11605,22378,5498327779997670,1,13073,27944,30,70,,,108,118,2,0,0,201,8/31/2026,A,12,,,8/12/2025,,,11551,,WOFC,COL2,NOAU,NREN,,8,,,0,,0,0,EOD        ,30,0,en-US,1,1,11,,N,2,,0,
375,9462,17461,5498327779997308,1,10554,21461,30,70,,,108,118,2,0,0,201,6/30/2028,A,36,,,6/6/2025,,,,,WOFC,COL2,NOAU,NREN,,8,,,0,57389,0,0,EOD        ,30,0,en-US,1,1,16,,N,2,,0,
375,10764,20645,5498327779996326,1,12146,25656,30,70,,,108,118,2,0,0,201,6/30/2031,I,36,6/30/2028,A,6/6/2025,,,,,PAUL,COL2,NOAU,NREN,,8,,,0,57820,0,0,EOD        ,30,,en-US,1,1,15,,N,2,,0,
375,7729,13225,5498327779996151,1,8436,15876,30,70,,,108,118,2,0,0,201,6/30/2031,I,36,6/30/2028,A,6/6/2025,,,,,PAUL,COL2,NOAU,NREN,,8,,,0,55552,0,0,EOD        ,30,,en-US,1,1,15,,N,2,,0,
375,11022,21273,5498327779996029,1,12460,26486,30,70,,,108,118,2,0,0,201,6/30/2031,I,36,6/30/2028,A,6/6/2025,,,,,PAUL,COL2,NOAU,NREN,,8,,,0,58864,0,0,EOD        ,30,,en-US,1,1,15,,N,2,,0,
375,72915,139317,5498327779994701,1,74583,200745,30,70,,,108,17622,2,0,0,201,12/31/2037,A,60,,,12/2/2032,,,,,CCAB,REJC,NOAU,NREN,,8,,,0,123660,0,0,Upd_Status ,30,0,en-US,1,1,11,,Y,2,,0,
375,71208,136501,5498327779993869,0,72896,197569,30,70,,,108,17622,2,0,0,201,4/30/2037,I,60,,,4/16/2032,,,,,NORM,NORM,NORM,NORM,,8,,,0,122180,0,0,Upd_Status ,30,0,en-US,1,1,11,,N,2,,0,
375,5997,8991,5498327779993612,1,6319,10295,30,70,,,108,118,2,0,0,201,6/30/2031,I,36,6/30/2028,A,6/6/2025,,,,,PAUL,COL2,NOAU,NREN,,8,,,0,53833,0,0,EOD        ,30,,en-US,1,1,15,,N,2,,0,
375,70068,134304,5498327779992994,0,71928,195787,30,70,,,108,118,2,0,0,201,6/30/2034,A,36,,,6/5/2031,,,,,WOFC,REJF,NOAU,NREN,,8,,,0,121234,0,0,EOD        ,30,0,en-US,1,1,90,,N,2,,0,
375,73149,139691,5498327779992705,0,74842,201258,30,70,,,108,17622,2,0,0,201,12/31/2037,A,60,,,12/11/2032,,,,,CANC,REJF,NOAU,NREN,,8,,,0,123883,0,0,manual     ,30,0,en-US,1,1,4,,N,2,,0,
375,9146,16687,5498327779992382,1,10167,20442,30,70,,,108,118,2,0,0,201,6/30/2028,A,36,,,6/6/2025,,,,,WOFC,COL2,NOAU,NREN,,8,,,0,58154,0,0,EOD        ,30,0,en-US,1,1,16,,N,2,,0,
375,6390,9949,5498327779992218,1,6798,11560,30,70,,,108,118,2,0,0,201,6/30/2031,I,36,6/30/2028,A,6/6/2025,,,,,PAUL,COL2,NOAU,NREN,,8,,,0,55255,0,0,EOD        ,30,,en-US,1,1,15,,N,2,,0,
