INSTITUTION_ID,SERNO,PARTITIONKEY,CACCSERNO,CARDSERNO,DEF_CACCSERNO,PRODUCT,BATCHSERNO,TYPESERNO_ALLOC,TYPESERNO_FEES,TYPESERNO_REPORTS,TYPESERNO_REWARDS,TYPESERNO_GLEDGER,TYPESERNO_DIVERT,TYPESERNO_NOPOST,TYPESERNO_PROBE,TYPESERNO_TEXT,MSGCLASS,MSGTYPE,TRXNTYPE,ORIG_MSG_TYPE,I000_MSG_TYPE,I002_NUMBER,I003_PROC_CODE,I004_AMT_TRXN,I005_AMT_SETTLE,I006_AMT_BILL,I007_LOAD_DATE,I008_BILLING_FEE,I013_TRXN_DATE,I044_REASON_CODE,I048_TEXT_DATA,I049_CUR_TRXN,I050_CUR_SETTLE,I051_CUR_BILL,CENTERCURRENCY,CENTERAMOUNT,INSTALMENTTYPE,INSTALMENTINDEPFLAG,INSTALMENTSNUMBER,INSTALMENTSEQ,INSTALMENTREPAYMENTTYPE,INSTALMENTOFFSET,INSTALMENTORIGAMOUNT,INSTALMENTTOTALAMOUNT,INSTALMENTPLANSERNO,INSTALMENTINTERESTANCHORDATE,INSTALMENTSERNO,INSTALMENTPARTITIONKEY,INSTALMENTAMRTPRINCIPALAMOUNT,MBHAGREEMENTSERNO,CONSOLIDATIONKEY,REWARDSFLAG,SINGLE_MSG_FLAG,AUTHIMMEDIATEPOSTING,AUTHACCOUNTTYPE,AUTHAMOUNT,ORIGINATOR,ORIGINATORREASONCODE,PROXYCARDNUMBER,INVOICENUMBER,AMOUNT,EMBEDDEDFEE,TOTALPOINTS,TOTALREBATES,TAXFLAG,TAXBASEAMOUNT,VALUEDATE,STARTOFINTEREST,MINDUEVALUEDATE,POSTDATE,POSTTIMESTAMP,TEXTDESCRIPTION,FGRESOLUTIONSTATUS,STGENERAL,LOGACTION,CONVERTED
375,1641198,37533120,139116,72764,,24,581860,19,,3525,,2931,,,,,1,262144,524288,TFEE ,220,5182179004112687,190000,200,200,200,4/9/2033,,4/9/2033,otcf,CASH ADVANCE OTC-FEE,608,608,608,608,200,,,,,,,,,,,,,,,,,,,30,,General,,,,-200,0,0,0,0,0,4/9/2033,,,4/9/2033,9/7/2023 11:00:26 AM,,,POST,normal     ,
375,1641197,37533120,139116,72764,,24,581859,21,1627,3114,6098,2522,,,,3825,1,2048,0,ISOM ,220,5182179004112687,10000,2344.44,2344.44,2344.44,4/9/2033,,9/7/2023 11:00:21 AM,cwdl,CASH ADVANCE ONUS,608,608,608,608,2344.44,,,,,,,,,,,,,,,,0,1,,30,,2,0,,,-2344.44,0,0,0,,,4/9/2033,,,4/9/2033,9/7/2023 11:00:26 AM,CASH ADVANCE ONUS,,POST,normal     ,
375,1641196,37533120,140061,73418,,32,581857,20,,6156,,6166,,,,6146,1,2048,0,DBADJ,220,5425510001527351,120000,98765,98765,98765,4/9/2033,,4/9/2033,padj,RPS TOTAL PRNCL MIGRATED DBADJ,608,608,608,608,98765,,,,,,,,,,,,,,,,,,,30,,Monetary File,,,,-98765,0,0,0,,,4/9/2033,,,4/9/2033,9/7/2023 10:26:54 AM,RPS TOTAL PRNCL MIGRATED DBADJ,,POST,normal     ,
375,1641195,37533120,140059,73417,,26,581857,20,,6156,,6166,,,,6146,1,2048,0,DBADJ,220,5181789020037634,120000,98765,98765,98765,4/9/2033,,4/9/2033,padj,RPS TOTAL PRNCL MIGRATED DBADJ,608,608,608,608,98765,,,,,,,,,,,,,,,,,,,30,,Monetary File,,,,-98765,0,0,0,,,4/9/2033,,,4/9/2033,9/7/2023 10:26:53 AM,RPS TOTAL PRNCL MIGRATED DBADJ,,POST,normal     ,
375,1641194,37533120,140061,73418,,32,581857,20,,6156,,6166,,,,6146,1,2048,0,DBADJ,220,5425510001527351,120000,12345,12345,12345,4/9/2033,,4/9/2033,iadj,RPS TOTAL INT MIGRATED DBADJ,608,608,608,608,12345,,,,,,,,,,,,,,,,,,,30,,Monetary File,,,,-12345,0,0,0,,,4/9/2033,,,4/9/2033,9/7/2023 10:26:53 AM,RPS TOTAL INT MIGRATED DBADJ,,POST,normal     ,
375,1641193,37533120,140059,73417,,26,581857,20,,6156,,6166,,,,6146,1,2048,0,DBADJ,220,5181789020037634,120000,12345,12345,12345,4/9/2033,,4/9/2033,iadj,RPS TOTAL INT MIGRATED DBADJ,608,608,608,608,12345,,,,,,,,,,,,,,,,,,,30,,Monetary File,,,,-12345,0,0,0,,,4/9/2033,,,4/9/2033,9/7/2023 10:26:53 AM,RPS TOTAL INT MIGRATED DBADJ,,POST,normal     ,
375,1641170,37533120,140045,73409,,24,581836,6135,,6153,,6163,,,,6143,1,2048,0,IPRNC,220,5182179001861773,20000,469673.88,469673.88,469673.88,4/9/2033,,4/9/2033,ACCL,RPS Interest 1.30% 2/3 PRIN,608,608,608,608,469673.88,0,0,3,3,0,,700000,718278.36,4626,,7374,37533120,-469673.88,,,,0,,30,,Generated,bal2inst,,,-469673.88,0,0,0,,,4/9/2033,,,4/9/2033,9/6/2023 7:35:46 PM,RPS Interest 1.30% 2/3 PRIN,,POST,normal     ,
375,1641169,37533120,140045,73409,,24,581836,6136,,6154,,6164,,,,6144,1,524288,0,IINT ,220,5182179001861773,190000,9178.36,9178.36,9178.36,4/9/2033,,4/9/2033,ACCL,RPS Interest 1.30% 2/3 INT,608,608,608,608,9178.36,0,0,3,3,0,,700000,718278.36,4626,,7374,37533120,0,,,,0,,30,,Generated,bal2inst,,,-9178.36,0,0,0,,,4/9/2033,,,4/9/2033,9/6/2023 7:35:46 PM,RPS Interest 1.30% 2/3 INT,,POST,normal     ,
375,1641168,37533120,140045,73409,,24,581848,6135,,6153,,6163,,,,6143,1,2048,0,IPRNC,220,5182179001861773,20000,230326.12,230326.12,230326.12,4/9/2033,,4/9/2033,PRNC,RPS Interest 1.30% 1/3 PRIN,608,608,608,608,230326.12,0,0,3,1,0,0,700000,718278.36,4626,,7374,37533120,-230326.12,,,,0,,30,,Generated,bal2inst,,,-230326.12,0,0,0,,,4/9/2033,,,4/9/2033,9/6/2023 7:14:56 PM,RPS Interest 1.30% 1/3 PRIN,,POST,normal     ,
375,1641167,37533120,140045,73409,,24,581848,6136,,6154,,6164,,,,6144,1,524288,0,IINT ,220,5182179001861773,190000,9100,9100,9100,4/9/2033,,4/9/2033,irps,RPS Interest 1.30% 1/3 INT,608,608,608,608,9100,0,0,3,1,0,0,700000,718278.36,4626,,7374,37533120,0,,,,0,,30,,Generated,bal2inst,,,-9100,0,0,0,,,4/9/2033,,,4/9/2033,9/6/2023 7:14:56 PM,RPS Interest 1.30% 1/3 INT,,POST,normal     ,
